tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
monografia;;;;Vinci, Anna Maria;;Storia dell'Università di Trieste. Mito, progetti, realtà;Trieste;Lint;1997;;;;;377
poligrafia;;;;Ferri, Antonio - Roversi, Giancarlo;a cura di;Storia di Bologna;Imola;University Press Bologna;1996;;;;;462
articolo in volume miscellaneo;Medri, Sante;;Silvestro Gherardi;;;Storia di Lugo, vol. II. L'età moderna e contemporanea;Faenza;Edit. Faenza;1997;;;;;237-242
articolo in volume miscellaneo;Tagliaferri, Guido;;Le scienze esatte all’Università di Milano;;;Storia di Milano, vol. XVIII. Il Novecento;Roma;Istituto della Enciclopedia italiana;1996;;;;;659-677
articolo in volume miscellaneo;Decleva, Enrico;;La nascita dell'Università degli Studi e il sistema universitario milanese negli anni '20;;;Storia di Milano, vol. XVIII. Il Novecento;Roma;Istituto della Enciclopedia italiana;1996;;;;;717-742
articolo in volume miscellaneo;Ferraresi, Alessandra;;Il curriculum delle arti nell'Università di Pavia dalla metà del Cinquecento alla metà del Settecento;;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;539-558
articolo in volume miscellaneo;Bernuzzi, Marco;;Dall'Universitas theologorum alla Facoltà teologica dell'Università di Pavia;;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;527-538
articolo in volume miscellaneo;Milanesi, Alberto;;I collegi universitari ;;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;595-611
articolo in volume miscellaneo;Cavagna, Anna Giulia;;Il mondo librario d’età moderna tra produzione e consumo: Pavia tra Università e Stato di Milano;;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;629-687
articolo in volume miscellaneo;Zorzoli, Maria Carla;;Università di Pavia (1535-1796). L’organizzazione dello Studio;;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;427-481
articolo in volume miscellaneo;Zorzoli, Maria Carla;;La Facoltà di giurisprudenza (1535-1796);;;Storia di Pavia, vol. IV. L’età spagnola ed austriaca;Pavia;Banca del Monte di Lombardia;1995;;;;;483-516
articolo in volume miscellaneo;Mischi, Giuseppe;;Il collegio dei dottori e giudici;;;Storia di Piacenza, vol. III. Dalla Signoria viscontea al principato farnesiano (1313-1545);Piacenza;Tip.Le.Co;1997;;;;;513-521
articolo in volume miscellaneo;Corvi, Antonio;;Il collegio dei medici, chirurghi, speziali nel '500;;;Storia di Piacenza, vol. III. Dalla Signoria viscontea al principato farnesiano (1313-1545);Piacenza;Tip.Le.Co;1997;;;;;523-542
articolo in volume miscellaneo;Mischi, Giuseppe;;Il collegio dei teologi di Piacenza;;;Storia di Piacenza, vol. III. Dalla Signoria viscontea al principato farnesiano (1313-1545);Piacenza;Tip.Le.Co;1997;;;;;543-548
articolo in volume miscellaneo;Nardi, Paolo;;Maestri e scolari: alle origini dello Studio;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. I. Dalle origini alla fine della Repubblica;Siena;Alsaba;1995;;;;;141-154
articolo in volume miscellaneo;Bruno, Alberto;;Lo sviluppo dell'Ateneo;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. III. L'età contemporanea;Siena;Alsaba;1997;;;;;277-292
articolo in volume miscellaneo;De Gregorio, Mario ;;L’Accademia dei Fisiocritici;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. II. Dal Granducato all'Unità;Siena;Alsaba;1996;;;;;123-136
articolo in volume miscellaneo;De Gregorio, Mario;;La Biblioteca comunale degli Intronati;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. II. Dal Granducato all'Unità;Siena;Alsaba;1996;;;;;365-384
articolo in volume miscellaneo;Minnucci, Giovanni;;La casa della Sapienza;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. I. Dalle origini alla fine della Repubblica;Siena;Alsaba;1995;;;;;357-370
articolo in volume miscellaneo;Catoni, Giuliano;;Un nido di nobili: il Collegio Tolomei;Barzanti, Roberto - Catoni, Giuliano - De Gregorio, Mario;a cura di;Storia di Siena, vol. II. Dal Granducato all'Unità;Siena;Alsaba;1996;;;;;81-94
articolo in volume miscellaneo;Sergi, Giuseppe;;Da Claudio a Landolfo: l’episcopato come nucleo di potenzialità politiche e come fulcro culturale;Sergi, Giuseppe;a cura di;Storia di Torino, vol. I. Dalla preistoria al Comune medievale;Torino;Einaudi;1997;;;;;402-407
articolo in volume miscellaneo;Naso, Irma;;La scuola e l'Università;Comba, Rinaldo;a cura di;Storia di Torino, vol. II. Il basso Medioevo e la prima età moderna (1280-1536);Torino;Einaudi;1997;;;;;597-616
monografia;;;;Cattini, Marco - Decleva, Enrico - De Maddalena, Aldo - Romani, Marzio Achille;;Storia di una libera università, vol. I. L'Università Commerciale Luigi Bocconi dalle origini al 1914;Milano;Egea;1992;;;;;388
articolo in volume miscellaneo;Cattini, Marco;;Gli studenti e la loro università nei trent’anni da una guerra all’altra (1915-1944);Cattini, Marco - Decleva, Enrico - De Maddalena, Aldo - Romani, Marzio Achille;;Storia di una libera università, vol. II. L'Università Commerciale Luigi Bocconi dal 1915 al 1945;Milano;Egea;1997;;;;;467-586
articolo in volume miscellaneo;Romani, Marzio Achille;;"""Bocconi über alles!"". L'organizzazione della didattica e la ricerca (1914-1945)";Cattini, Marco - Decleva, Enrico - De Maddalena, Aldo - Romani, Marzio Achille;;Storia di una libera università, vol. II. L'Università Commerciale Luigi Bocconi dal 1915 al 1945;Milano;Egea;1997;;;;;105-247
monografia;;;;Cattini, Marco - Decleva, Enrico - De Maddalena, Aldo - Romani, Marzio Achille;;Storia di una libera università, vol. II. L'Università Commerciale Luigi Bocconi dal 1915 al 1945;Milano;Egea;1997;;;;;594
articolo in volume miscellaneo;Benzoni, Gino;;La cultura: contenuti e forme;Cozzi, Gaetano - Prodi, Paolo;a cura di;Storia di Venezia, vol. VI. Dal Rinascimento al Barocco;Roma;Istituto della Enciclopedia italiana;1994;;;;;515-588
articolo in volume miscellaneo;Minesso, Michela ;;L’ingegnere dall’età napoleonica al fascismo;Malatesta, Maria;a cura di;Storia d'Italia. Annali, vol. X. I professionisti;Torino;Einaudi;1996;;;;;259-302
articolo in volume miscellaneo;Cammelli, Andrea - Di Francia, Angelo;;Studenti, università, professioni: 1861-1993;Malatesta, Maria;a cura di;Storia d'Italia. Annali, vol. X. I professionisti;Torino;Einaudi;1996;;;;;5-77
articolo in volume miscellaneo;Santoro, Marco;;Le trasformazioni del campo giuridico. Avvocati, procuratori e notai dall’Unità alla Repubblica;Malatesta, Maria;a cura di;Storia d'Italia. Annali, vol. X. I professionisti;Torino;Einaudi;1996;;;;;81-144
articolo in volume miscellaneo;Calcagno, Gian Carlo;;Il nuovo ingegnere (1923-1961);Malatesta, Maria;a cura di;Storia d'Italia. Annali, vol. X. I professionisti;Torino;Einaudi;1996;;;;;305-336
poligrafia;;;;Malatesta, Maria ;a cura di;Storia d'Italia. Annali, vol. X. I professionisti;Torino;Einaudi;1996;;;;;781
articolo in volume miscellaneo;Tranfaglia, Nicola;;Un delitto di gente per bene. Il processo Murri (1902-1905);Violante, Luciano;a cura di;Storia d'Italia. Annali, vol. XII. La criminalità;Torino;Einaudi;1997;;;;;528-552
articolo in volume miscellaneo;Avellini, Luisa;;Cultura e società in Emilia-Romagna;Finzi, Roberto ;a cura di;Storia d'Italia. Le regioni, dall'Unità a oggi. L'Emilia-Romagna;Torino;Einaudi;1997;;;;;651-783
poligrafia;;;;Borchi, Emilio - Macii, Renzo - Vetrano, Flavio;a cura di;Convegno nazionale su Strumenti e cultura scientifica nell'Ottocento in Italia: Firenze, 3-4 maggio 1995;Firenze;Idealpress;1997;;;;;214
poligrafia;;;;Terenna, Gigliola - Vannozzi, Francesca;a cura di;Strumenti medici dei secoli XVIII-XIX;Siena;Nuova Immagine;1997;;;;;78
monografia;;;;Boato, Giovanni - Bruzzaniti, Giuseppe;;Strumenti nella Fisica dell’Ottocento;Genova;Sagep;1993;;;;;142
poligrafia;;;;Archivio storico dell'Università di Bologna;a cura di;Studenti e goliardia;Bologna;Bononia University Press;1997;;;;;42
monografia;;;;Novarese, Daniela;;Studenti e laureati nel Seicento a Messina. I libri matricularum del Messanense Studium generale del decennio 1634-1643;Milano;Giuffrè;1996;;;;;378
monografia;;;;Maffei, Domenico ;;Studi di storia delle università e della letteratura giuridica;Goldbach;Keip;1995;;;;;590
articolo in volume miscellaneo;Vitolo, Giovanni;;Dalle scuole salernitane di medicina alla Scuola medica salernitana;Vitolo, Giovanni - Carlone, Carmine;a cura di;Studi di storia meridionale in memoria di Pietro Laveglia;Salerno;Laveglia;1994;;;;;13-30
articolo in volume miscellaneo;Poppi, Antonino;;"Una difesa della teologia scolastica contro gli erasmiani. La prolusione di Girolamo Vielmi al corso di teologia ""in via Thomae"" (1554)";Trolese, Francesco G.B.;a cura di;Studi di storia religiosa padovana dal Medioevo ai nostri giorni. Miscellanea in onore di mons. Ireneo Daniele;Padova;Istituto per la storia ecclesiastica padovana;1997;;;;;187-204
monografia;;;;Rossi, Guido;;Studi e testi di storia giuridica medievale;Milano;Giuffré;1997;;;;;864
monografia;;;;Gualandi, Giovanni - Sarti, Nicoletta;a cura di;Studi e testi di storia giuridica medievale. Guido Rossi (1916-1986);Milano;Giuffré;1997;;;;;864
articolo in volume miscellaneo;Ghetti, Maria Cecilia;;Pietroburgo o Mosca? La nascita del sistema universitario in Russia;Benacchio, Rosanna - Magarotto, Luigi ;a cura di;Studi slavistici in onore di Natalino Radovich;Padova;Cleup;1996;;;;;95-121
poligrafia;;;;Benacchio, Rosanna - Magarotto, Luigi ;a cura di;Studi slavistici in onore di Natalino Radovich;Padova;Cleup;1996;;;;;381
articolo in volume miscellaneo;Ubrizsy Savoia, Andrea;;The botanical knowledge during the Hungarian Humanism and early Renaissance: the plant names of the Corvina Codex at the Casanatense Library in Rome;Borhidi Attila – Szabó László;eds.;Studia phytologica jubilaria: Dissertationes in honorem jubilantis Adolf Olivér Horvát Doctor Academiae in anniversario nonagesimo nativitatis (1907-1997);Pecs;Janus Pannonius Tudományegyetem Növénytani Tanszék és Botanikus Kert;1997;;;;;153-160
articolo in volume miscellaneo;Sottili, Agostino;;"Die theologische Fakultät der Universität Pavia in der zweiten Hälfte des 15 Jahrhunderts Die gescheiterte Berufung des Theologen Thomas Penketh und die Einrichtung der ""Lectura Thomae""";Helmrath, Johannes - Muller, Heribert;a cura di;Studien zum 15. Jahrhundert. Festschrift für Erich Meuthen;München;Oldenbourg;1994;;;;;45-78
poligrafia;;;;Black, Robert D.;a cura di;Studio e scuola in Arezzo durante il Medioevo e il Rinascimento. I documenti d'archivio fino al 1530;Arezzo;Accademia Petrarca di Lettere, Arti e Scienze;1996;;;;;873
articolo in volume miscellaneo;Avellini, Luisa;;Promozione libraria nel Quattrocento bolognese;Balsamo, Luigi - Quaquarelli, Leonardo;a cura di;Sul libro bolognese del Rinascimento;Bologna;Clueb;1994;;;;;77-127
articolo in volume miscellaneo;Vinci, Anna Maria;;Gli intellettuali e la guerra: l’esempio giuliano;Ventura, Angelo;a cura di;Sulla crisi del regime fascista, 1938-1943. La società italiana dal “consenso” alla Resistenza. Atti del convegno nazionale di studi, Padova, 4-6 novembre 1993;Venezia;Marsilio;1995;;;;;387-420
poligrafia;;;;Ventura, Angelo;a cura di;Sulla crisi del regime fascista, 1938-1943. La società italiana dal “consenso” alla Resistenza. Atti del convegno nazionale di studi, Padova, 4-6 novembre 1993;Venezia;Marsilio;1996;;;;;609
articolo in volume miscellaneo;Forneris, Giuliana;;L’erbario del Colle di Superga di Andrea Palazzi (1750?-1836). Note e considerazioni;Fontanella Vitale Brovarone, Lucetta;a cura di;Superga. Storia e memoria;Torino;Celid;1994;;;;;153-194
monografia;;;;Siraisi, Nancy G.;;The Clock and the Mirror. Girolamo Cardano and Renaissance Medicine;Princeton;Princeton University Press;1997;;;;;361
monografia;;;;Pedersen, Olaf  ;;The First Universities. Studium Generale and the Origins of University Education in Europe ;Cambridge;Cambridge University Press;1997;;;;;310
articolo in volume miscellaneo;Premuda, Loris;;"The ""Studio di Padova"" in the history of medicine";Onnis, Antonino;edited by;The Institute of Gynaecology and Obstetrics G. B. Revoltella;Padova;SOG;1995;;;;;9-15
monografia;;;;Negruzzo, Simona;;Theologiam discere et docere. La facoltà teologica di Pavia nel XVI secolo;Milano - Bologna;Cisalpino;1995;;;;;433
monografia;;;;Balani, Donatella;;Toghe di stato. La facoltà giuridica dell'Università di Torino e le professioni nel Piemonte del Settecento;Torino;Deputazione subalpina di storia patria;1996;;;;;334
articolo in volume miscellaneo;Pepe, Luigi;;Torquato Tasso e la lettura di matematica nell'Università di Ferrara;Moretti, Walter - Pepe, Luigi;a cura di;Torquato Tasso e l'università;Firenze;Olschki;1997;;;;;75-97
articolo in volume miscellaneo;Anselmi, Gian Mario;;Tasso e la tradizione ermeneutica nello Studio bolognese;Moretti, Walter - Pepe, Luigi;a cura di;Torquato Tasso e l'università;Firenze;Olschki;1997;;;;;227-235
poligrafia;;;;Moretti, Walter - Pepe, Luigi;a cura di;Torquato Tasso e l'università;Firenze;Olschki;1997;;;;;536
articolo in volume miscellaneo;Volpi Rosselli, Giuliana;;I portoghesi nell'Ateneo pisano in epoca medicea (1543-1737);;;Toscana e Portogallo. Miscellanea storica nel 650° anniversario dello Studio generale di Pisa;Pisa;ETS;1994;;;;;117-132
articolo in volume miscellaneo;Marrara, Danilo;;Il giurista portoghese Diego Lopes e un suo progetto di riforma dello Studio di Pisa alla fine del XVII secolo;;;Toscana e Portogallo. Miscellanea storica nel 650° anniversario dello Studio generale di Pisa;Pisa;ETS;1994;;;;;223-243
articolo in volume miscellaneo;Del Gratta, Rodolfo;;Un intraprendente portoghese rettore dello Studio di Pisa nel 1494;;;Toscana e Portogallo. Miscellanea storica nel 650° anniversario dello Studio generale di Pisa;Pisa ;ETS;1994;;;;;107-115
articolo in volume miscellaneo;Sarti, Carlo;;Alle origini della geologia. La geologia bolognese del ‘700 ;;;Tra le montagne del Mare Padano: Giuseppe Scarabelli (1880-1905), dai fossili dell'Appennino alla scoperta della preistoria ;Bologna;Grafis;1995;;;;;3-4
monografia;;;;Gatto, Romano;;Tra scienza e immaginazione. Le matematiche presso il Collegio gesuitico napoletano (1552-1670 ca.);Firenze;Olschki;1994;;;;;392
articolo in volume miscellaneo;Battistini, Andrea;;"""Limpide voci dello spirito europeo"": il Vico di Croce e il Vico di Auerbach.";;;"Tra storia e simbolo. Studi dedicati a Ezio Raimondi dai direttori, redattori e dall'editore di ""Lettere italiane""";Firenze;Olschki;1994;;;;;253-279
articolo in volume miscellaneo;Calcagno, Gian Carlo;;L'ingegnere: innovazione tecnologica e progresso sociale;Preti, Alberto;a cura di;Un democratico del Risorgimento: Quirico Filopanti;Bologna;Il Mulino;1997;;;;;121-156
articolo in volume miscellaneo;Paticchia, Vito;;Un uomo all’opposizione: Filopanti e l’VIII Centenario dell’Università di Bologna  ;Preti, Alberto;a cura di;Un democratico del Risorgimento: Quirico Filopanti;Bologna;Il Mulino;1997;;;;;265-278
monografia;;;;Perego, Giancarlo;;"Un ministero ""tutto spirituale"". La teologia del ministero ordinato nel giansenismo lombardo tra illuminismo e liberalismo (1755-1855)";Roma - Milano;Pontificio Seminario Lombardo - Glossa;1997;;;;;321
poligrafia;;;;Bravo, Gian Mario - Sciolla, Loredana;a cura di;Una eredità intellettuale. Maestri e allievi della Facoltà di scienze politiche di Torino;Antella (Bagno a Ripoli);Passigli;1997;;;;;319
poligrafia;;;;Gregolin, Carlo;a cura di;Università di Padova. I musei, le collezioni scientifiche e le sezioni antiche delle biblioteche;Padova;Università degli Studi di Padova;1996;;;;;183
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Da domus pauperum scholarium a collegio d'educazione. Evoluzione e ruolo del collegio in Europa dal Medioevo all'età napoleonica;Musatti, Maria Pia;a cura di;Università e collegi: storia e futuro. Atti del Convegno (7 marzo 1994) organizzato dal Collegio universitario S. Caterina da Siena di Pavia;Bologna;Cisalpino;1994;;;;;17-46
poligrafia;;;;Musatti, Maria Pia;a cura di;Università e collegi: storia e futuro. Atti del Convegno (7 marzo 1994) organizzato dal Collegio universitario S. Caterina da Siena di Pavia;Bologna;Cisalpino;1994;;;;;98
monografia;;;;Sottili, Agostino;;Università e cultura. Studi sui rapporti italo-tedeschi nell'età dell'Umanesimo;Goldbach;Keip;1993;;;;;431
articolo in volume miscellaneo;Romagnani, Gian Paolo;;Ercole Ricotti e il primo insegnamento universitario di storia militare;;;Università e Istituti militari. La formazione della classe dirigente. Atti, Torino, 27-28-29 novembre 1996;Roma;Stilgrafica;1997;;;;;18-25
articolo in volume miscellaneo;Genovese, Francesco Antonio;;La riforma delle Facoltà di giurisprudenza e l’introduzione dell’ordinamento giudiziario nelle Università italiane (1859-1865) ;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;115-149
articolo in volume miscellaneo;Gherardi, Raffaella;;"Scienza nazionale e Università nei dibattiti parlamentari: la politica della ""assimilazione interna""";Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;299-312
articolo in volume miscellaneo;Torre, Stefania;;"L'""Introduzione enciclopedica alle scienze giuridiche"": parabola di un insegnamento";Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;151-192
articolo in volume miscellaneo;Mazzacane, Aldo;;Secolo dell'università - secolo delle professioni: le ragioni di un incontro;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;1-9
articolo in volume miscellaneo;Tessitore, Fulvio;;L'università di Humboldt e l'unità del sapere;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;13-30
articolo in volume miscellaneo;Schiera, Pierangelo;;Università e società come snodo strutturale della storia moderna;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;31-50
articolo in volume miscellaneo;Porciani, Ilaria;;L'università dell'Italia unita;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;51-76
articolo in volume miscellaneo;Mazzacane, Aldo;;Pratica e insegnamento: l'istruzione giuridica a Napoli nel primo Ottocento;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;77-114
poligrafia;;;;Mazzacane, Aldo - Vano, Cristina ;a cura di;Università e professioni giuridiche in Europa nell'età liberale;Napoli;Jovene;1994;;;;;603
monografia;;;;Rollandi, Maria Stella;;Università e studi economici. La Facoltà di economia e commercio di Genova dal 1936 al 1986;Genova;Brigati;1993;;;;;303
articolo in volume miscellaneo;Colucci, Giovanni;;L'evoluzione quantitativa dell'Università di Siena;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;128-135
articolo in volume miscellaneo;Girgensohn, Dieter;;Gli statuti medievali delle Università di giurispudenza italiane: conservazione, materie regolate e interdipendenze;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;159-170
articolo in volume miscellaneo;Soffietti, Isidoro;;Lo Studium di Vercelli nel XIII secolo alla luce di documenti di recente ritrovamento;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;191-198
articolo in volume miscellaneo;Colao, Floriana;;La libertà d'insegnamento e l'autonomia universitaria nell'Università liberale: brevi considerazioni;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;355-383
articolo in volume miscellaneo;Del Bagno, Ileana;;Dal dottorato alla magistratura: l'istituzione della Giunta degli Approbandi nel Regno di Napoli;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;491-500
articolo in volume miscellaneo;Da Passano, Mario;;Le facoltà di giurispudenza italiane e il problema dell'abolizione della pena di morte (1876);Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;471-490
articolo in volume miscellaneo;Pepe, Luigi;;Università o Grandes Ecoles: il Piano Mascheroni e il dibattito al Gran Consiglio della Repubblica Cisalpina;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;511-523
articolo in volume miscellaneo;Mazzacane, Aldo;;Università e scuole private di diritto a Napoli nella prima metà dell'Ottocento;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;549-575
articolo in volume miscellaneo;Massa Piergiovanni, Paola ;;Università e istruzione superiore economico commerciale tra Otto e Novecento;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;647-663
articolo in volume miscellaneo;Moretti, Mauro;;"L’""Associazione Nazionale fra i Professori Universitari"" e la politica universitaria nell’età giolittiana. Note ed osservazioni";Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;581-600
articolo in volume miscellaneo;Naso, Irma;;Lo Studium di Vercelli nel Medioevo;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;227-238
articolo in volume miscellaneo;Novarese, Daniela;;Strutture universitarie e mobilità studentesca nella Sicilia dell’età moderna ;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;327-346
articolo in volume miscellaneo;Petti Balbi, Giovanna ;;Felix Studium viguit: l’organizzazione degli studenti e dei dottori a Parma nel Quattrocento;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;37-50
articolo in volume miscellaneo;Porciani, Ilaria;;L’eccezione e la regola: l’Università italiana dell’Ottocento tra norma scritta e prassi quotidiana;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;625-635
articolo in volume miscellaneo;Tramontana, Salvatore;;Però, queste Università degli Studi;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;9-16
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Le Università minori in Italia in età moderna;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;287-296
articolo in volume miscellaneo;Ascheri, Mario;;Città e Università a Siena: il presente in prospettiva storica;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;115-127
articolo in volume miscellaneo;Belloni, Annalisa;;L'insegnamento giuridico in Italia e in Francia nei primi decenni del Cinquecento e l'emigrazione di Andrea Alciato;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;137-158
articolo in volume miscellaneo;Minnucci, Giovanni;;Il conferimento dei titoli accademici nello Studio di Siena fra XV e XVI secolo. Modalità dell'esame di laurea e provenienza studentesca;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;213-226
poligrafia;;;;Romano, Andrea;a cura di;Università in Europa. Le istituzioni universitarie dal Medio Evo ai nostri giorni. Strutture, organizzazione, funzionamento. Atti del convegno internazionale (Milazzo, 28 settembre-2 ottobre 1993);Soveria Mannelli;Rubettino;1995;;;;;748
monografia;;;;Alvazzi del Frate, Paolo;;"Università napoleoniche negli ""Stati romani"". Il Rapport di Giovanni Ferri de Saint-Constant sull'istruzione pubblica (1812)";Roma;Viella;1995;;;;;263
articolo in volume miscellaneo;Blanco, Luigi;;Università e biblioteche in Italia: un profilo storico;Taiani, Rodolfo;a cura di;Università: quale biblioteca? Atti del Seminario-dibattito, Trento, 25 marzo 1994;Trento;Università degli Studi di Trento;1995;;;;;17-46
articolo in volume miscellaneo;Brizzi, Gian Paolo;;The University Colleges of Bologna and the Hungaro-Illiryam College;Szögi, Làszlò - Varga, Júlia;a cura di;Universitas Budensis, 1395-1995. International Conference for the History of Universities on the Occasion of the 600th Anniversary of the Foundation of the University of Buda;Budapest;Eötvös Loránd Tudományegyetem Levéltára;1997;;;;;143-150
